time,open,high,low,close
1701364200.0,1.09107,1.09163,1.09098,1.09151
1701364500.0,1.09147,1.09155,1.09035,1.09035
1701364800.0,1.09032,1.09077,1.09011,1.09068
1701365100.0,1.0907,1.09106,1.09043,1.09103
1701365400.0,1.09093,1.09095,1.09032,1.09051
1701365700.0,1.0905,1.09079,1.09031,1.09049
1701366000.0,1.09049,1.09068,1.09044,1.09066
1701366300.0,1.09068,1.09119,1.09047,1.09118
1701366600.0,1.09118,1.09141,1.09104,1.09106
1701366900.0,1.09105,1.09114,1.09029,1.09062
1701367200.0,1.09063,1.09115,1.09055,1.09067
1701367500.0,1.09066,1.09076,1.09038,1.09045
1701367800.0,1.09045,1.09052,1.08993,1.09015
1701368100.0,1.09013,1.09015,1.08968,1.0897
1701368400.0,1.0897,1.0897,1.0893,1.08947
1701368700.0,1.08948,1.08983,1.08947,1.0897
1701369000.0,1.0897,1.08986,1.08947,1.08951
1701369300.0,1.08951,1.0897,1.08947,1.08956
1701369600.0,1.08956,1.08988,1.08955,1.08972
1701369900.0,1.08972,1.08973,1.08921,1.08926
1701370200.0,1.08927,1.08932,1.08908,1.08915
1701370500.0,1.08915,1.08917,1.08874,1.08893
1701370800.0,1.08895,1.08944,1.08893,1.0893
1701371100.0,1.0893,1.08952,1.08906,1.08948
1701371400.0,1.08949,1.08971,1.08937,1.08966
1701371700.0,1.08966,1.0899,1.08966,1.08985
1701372000.0,1.08983,1.08994,1.08971,1.08987
1701372300.0,1.08986,1.08994,1.08967,1.08977
1701372600.0,1.08977,1.08977,1.08942,1.08964
1701372900.0,1.08964,1.08967,1.08942,1.08943
1701373200.0,1.08943,1.08944,1.08911,1.08911
1701373500.0,1.08911,1.08911,1.08844,1.08849
1701373800.0,1.08848,1.08857,1.08831,1.08856
1701374100.0,1.08856,1.08885,1.08848,1.08885
1701374400.0,1.0889,1.08915,1.08885,1.08897
1701374700.0,1.08896,1.08927,1.08895,1.08921
1701375000.0,1.08921,1.08923,1.08901,1.08916
1701375300.0,1.08916,1.08918,1.08897,1.08906
1701375600.0,1.08904,1.08912,1.08886,1.089
